,,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,Abdominal Wall,Head & Neck: Craniofacial,GU: Uterus,Upper Limb: Bilateral,Upper Limb: Unilateral,"Face, Scalp"
,,2 Years to < 3 Years,,75,63,8,0,3,3,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,57,34,20,0,1,3,0,0,0,0,0,0,0,0,0
,,5 or More Years,,30,17,13,0,1,0,0,0,0,0,0,0,0,0,0
,Oregon,All Time,,862,744,100,2,12,8,0,0,0,0,0,0,0,0,0
,,< 30 Days,,46,36,7,0,1,2,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,77,62,13,0,1,2,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,109,85,19,1,2,3,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,150,126,23,0,2,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,222,202,19,1,1,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,113,105,5,0,3,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,99,88,8,0,2,1,0,0,0,0,0,0,0,0,0
,,5 or More Years,,46,40,6,0,0,0,0,0,0,0,0,0,0,0,0
,Pennsylvania,All Time,,"6,776","5,891",550,55,126,144,115,4,53,0,0,1,1,0,0
,,< 30 Days,,245,160,51,3,8,18,19,1,1,0,0,0,0,0,0
,,30 to < 90 Days,,360,253,71,2,10,23,14,1,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,601,481,80,3,16,22,15,1,3,0,0,0,0,0,0
,,6 Months to < 1 Year,,845,708,94,6,20,18,14,0,3,0,0,0,1,0,0
,,
,,1 Year to < 2 Years,,"1,717","1,524",113,12,41,30,25,1,4,0,0,1,0,0,0
,,2 Years to < 3 Years,,"1,037",941,59,11,14,14,12,0,7,0,0,0,0,0,0
,,3 Years to < 5 Years,,"1,174","1,081",43,8,14,16,15,0,9,0,0,0,0,0,0
,,5 or More Years,,894,823,43,10,3,3,1,0,26,0,0,0,0,0,0
,Puerto Rico,All Time,,292,273,17,0,3,2,0,0,0,0,0,0,0,0,0
,,< 30 Days,,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,11,6,5,0,2,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,19,16,3,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,27,25,2,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,95,88,5,0,1,2,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,58,58,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,53,53,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rhode Island,All Time,,271,271,0,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,74,74,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0
,South Carolina,All Time,,"1,333","1,176",79,10,53,52,2,0,0,0,0,0,0,0,0
,,< 30 Days,,99,80,9,2,6,6,1,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,112,99,6,0,7,4,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,159,132,21,0,7,3,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,216,180,17,1,12,11,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,293,258,10,6,9,17,1,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,196,184,4,0,4,8,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,153,143,6,1,4,3,0,0,0,0,0,0,0,0,0
,,5 or More Years,,106,100,6,0,4,0,0,0,0,0,0,0,0,0,0
,South Dakota,All Time,,344,313,36,3,12,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,18,16,1,1,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,22,19,4,0,1,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,23,19,4,0,1,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,39,37,3,0,3,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,86,72,14,1,5,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,47,43,5,1,2,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,71,68,5,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0
,Tennessee,All Time,,"3,108","2,767",252,7,33,87,10,0,0,0,0,0,0,0,0
,,
,,< 30 Days,,171,131,24,0,2,14,5,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,222,186,26,0,4,10,3,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,391,322,52,2,4,16,2,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,346,290,50,0,7,7,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,799,722,47,4,11,25,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,482,457,17,1,2,11,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,515,497,16,0,2,3,0,0,0,0,0,0,0,0,0
,,5 or More Years,,267,245,20,0,2,1,0,0,0,0,0,0,0,0,0
,Texas,All Time,,"10,065","8,456","1,305",30,81,340,80,8,0,0,1,0,0,0,0
,,< 30 Days,,433,299,87,2,10,40,16,4,0,0,0,0,0,0,0
,,30 to < 90 Days,,669,504,129,2,4,36,11,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,"1,087",846,191,5,13,40,14,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,"1,421","1,137",249,1,19,42,9,1,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,"2,660","2,281",298,7,20,85,19,3,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,"1,736","1,563",131,5,4,45,6,0,0,0,1,0,0,0,0
,,3 Years to < 5 Years,,"1,618","1,466",122,6,5,35,1,0,0,0,0,0,0,0,0
,,5 or More Years,,978,861,102,2,9,18,4,0,0,0,0,0,0,0,0
,Utah,All Time,,790,556,168,2,11,59,2,0,0,0,0,0,0,0,0
,,< 30 Days,,60,42,11,0,2,4,2,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,68,45,16,1,1,7,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,99,74,23,0,1,2,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,156,110,34,0,3,11,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,197,145,37,0,3,12,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,97,68,18,0,1,11,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,81,55,16,0,0,10,0,0,0,0,0,0,0,0,0
,,5 or More Years,,33,17,13,1,0,2,0,0,0,0,0,0,0,0,0
,Vermont,All Time,,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,Virginia,All Time,,"2,479","2,131",153,32,47,152,25,1,0,0,0,0,0,0,0
,,< 30 Days,,125,92,18,1,5,10,6,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,216,171,22,5,6,18,3,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,304,238,33,8,5,25,4,1,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,396,333,33,5,9,21,2,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,609,538,30,4,10,29,7,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,384,352,6,4,10,19,3,0,0,0,0,0,0,0,0
,,
,,3 Years to < 5 Years,,302,279,4,2,2,19,0,0,0,0,0,0,0,0,0
,,5 or More Years,,200,177,7,3,0,13,0,0,0,0,0,0,0,0,0
,Washington,All Time,,"1,808","1,463",191,5,50,73,29,0,12,0,0,0,0,0,0
,,< 30 Days,,94,61,24,0,0,7,3,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,117,86,18,0,1,6,6,0,1,0,0,0,0,0,0
,,90 Days to < 6 Months,,183,140,21,1,6,13,4,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,252,198,33,0,8,12,6,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,468,389,42,0,15,21,3,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,288,252,19,0,7,7,2,0,1,0,0,0,0,0,0
,,3 Years to < 5 Years,,268,230,15,3,12,3,3,0,3,0,0,0,0,0,0
,,5 or More Years,,148,112,22,1,1,4,2,0,7,0,0,0,0,0,0
,West Virginia,All Time,,113,112,0,0,0,1,0,0,0,0,0,0,0,0,0
,,< 30 Days,,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,20,19,0,0,0,1,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
,Wisconsin,All Time,,"1,605","1,272",270,14,29,62,6,0,0,0,0,0,0,0,0
,,< 30 Days,,79,58,15,1,3,5,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,108,80,19,2,7,5,1,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,188,133,42,2,5,11,1,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,242,175,59,3,3,11,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,384,310,62,1,9,8,1,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,244,197,33,3,1,13,2,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,233,202,29,0,2,7,1,0,0,0,0,0,0,0,0
,,5 or More Years,,181,165,12,2,0,2,0,0,0,0,0,0,0,0,0
ALCH-TX1 Children's of Alabama,All Center States,All Time,,22,15,2,0,0,6,0,0,0,0,0,0,0,0,0
,,< 30 Days,,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,5,3,0,0,0,2,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,4,2,1,0,0,2,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
,Alabama,All Time,,22,15,2,0,0,6,0,0,0,0,0,0,0,0,0
,,< 30 Days,,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,
,,90 Days to < 6 Months,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,5,3,0,0,0,2,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,4,2,1,0,0,2,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
ALUA-TX1 University of Alabama Hospital,All Center States,All Time,,"1,152","1,031",102,5,9,15,8,0,0,0,0,0,0,0,0
,,< 30 Days,,41,35,2,0,3,2,1,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,71,53,14,0,0,1,3,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,97,84,11,0,1,1,1,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,118,92,20,0,3,4,2,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,221,196,22,2,1,3,1,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,176,153,21,2,1,3,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,168,160,8,0,0,1,0,0,0,0,0,0,0,0,0
,,5 or More Years,,262,258,4,1,0,0,0,0,0,0,0,0,0,0,0
,Alabama,All Time,,"1,152","1,031",102,5,9,15,8,0,0,0,0,0,0,0,0
,,< 30 Days,,41,35,2,0,3,2,1,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,71,53,14,0,0,1,3,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,97,84,11,0,1,1,1,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,118,92,20,0,3,4,2,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,221,196,22,2,1,3,1,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,176,153,21,2,1,3,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,168,160,8,0,0,1,0,0,0,0,0,0,0,0,0
,,5 or More Years,,262,258,4,1,0,0,0,0,0,0,0,0,0,0,0
ALVA-TX1 Birmingham VA Medical Center,All Center States,All Time,,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,Alabama,All Time,,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ARBH-TX1 Baptist Medical Center,All Center States,All Time,,28,0,0,0,0,28,0,0,0,0,0,0,0,0,0
,,< 30 Days,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0
,,
,,3 Years to < 5 Years,,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0
,,5 or More Years,,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0
,Arkansas,All Time,,28,0,0,0,0,28,0,0,0,0,0,0,0,0,0
,,< 30 Days,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0
,,5 or More Years,,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0
ARCH-TX1 Arkansas Children's Hospital,All Center States,All Time,,6,4,0,0,0,2,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Arkansas,All Time,,6,4,0,0,0,2,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUA-TX1 UAMS Medical Center,All Center States,All Time,,210,179,31,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,18,16,2,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,15,12,3,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,25,21,4,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,44,38,6,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,50,41,9,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,23,22,1,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,21,17,4,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,14,12,2,0,0,0,0,0,0,0,0,0,0,0,0
,Arkansas,All Time,,210,179,31,0,0,0,0,0,0,0,0,0,0,0,0
,,< 30 Days,,18,16,2,0,0,0,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,15,12,3,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,25,21,4,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,44,38,6,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,50,41,9,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,23,22,1,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,21,17,4,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,14,12,2,0,0,0,0,0,0,0,0,0,0,0,0
AZCH-TX1 Phoenix Children's Hospital,All Center States,All Time,,29,19,6,0,0,4,0,0,0,0,0,0,0,0,0
,,< 30 Days,,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
,,
,,6 Months to < 1 Year,,6,5,0,0,0,1,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,11,5,4,0,0,2,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,Arizona,All Time,,29,19,6,0,0,4,0,0,0,0,0,0,0,0,0
,,< 30 Days,,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,6,5,0,0,0,1,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,11,5,4,0,0,2,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
AZGS-TX1 Banner-University Medical Center Phoenix,All Center States,All Time,,412,379,28,3,2,6,0,0,0,0,0,0,0,0,0
,,< 30 Days,,19,12,8,0,0,1,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,17,13,2,0,0,2,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,21,15,6,0,1,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,51,43,5,0,1,3,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,63,60,3,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,73,71,2,1,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,89,88,0,1,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,79,77,2,1,0,0,0,0,0,0,0,0,0,0,0
,Arizona,All Time,,412,379,28,3,2,6,0,0,0,0,0,0,0,0,0
,,< 30 Days,,19,12,8,0,0,1,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,17,13,2,0,0,2,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,21,15,6,0,1,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,51,43,5,0,1,3,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,63,60,3,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,73,71,2,1,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,89,88,0,1,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,79,77,2,1,0,0,0,0,0,0,0,0,0,0,0
AZHH-TX1 Phoenix Regional Medical Center,All Center States,All Time,,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0
,Arizona,All Time,,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0
AZMC-TX1 Mayo Clinic Hospital,All Center States,All Time,,921,763,135,2,16,18,0,0,0,0,0,0,0,0,0
,,< 30 Days,,59,38,15,1,3,5,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,105,74,27,0,2,5,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,112,90,19,0,3,3,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,153,126,23,0,4,2,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,190,161,28,1,1,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,119,111,6,0,1,1,0,0,0,0,0,0,0,0,0
,,
,,3 Years to < 5 Years,,116,111,2,0,1,2,0,0,0,0,0,0,0,0,0
,,5 or More Years,,68,52,15,0,1,0,0,0,0,0,0,0,0,0,0
,Arizona,All Time,,921,763,135,2,16,18,0,0,0,0,0,0,0,0,0
,,< 30 Days,,59,38,15,1,3,5,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,105,74,27,0,2,5,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,112,90,19,0,3,3,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,153,126,23,0,4,2,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,190,161,28,1,1,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,119,111,6,0,1,1,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,116,111,2,0,1,2,0,0,0,0,0,0,0,0,0
,,5 or More Years,,68,52,15,0,1,0,0,0,0,0,0,0,0,0,0
AZSJ-TX1 St. Joseph's Hospital and Medical Center,All Center States,All Time,,136,102,22,0,0,0,15,0,0,0,0,0,0,0,0
,,< 30 Days,,13,2,1,0,0,0,10,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,12,5,9,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,21,15,4,0,0,0,2,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,15,12,2,0,0,0,1,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,20,18,2,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,35,31,3,0,0,0,1,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,18,17,1,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0
,Arizona,All Time,,136,102,22,0,0,0,15,0,0,0,0,0,0,0,0
,,< 30 Days,,13,2,1,0,0,0,10,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,12,5,9,0,0,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,21,15,4,0,0,0,2,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,15,12,2,0,0,0,1,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,20,18,2,0,0,0,0,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,35,31,3,0,0,0,1,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,18,17,1,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0
AZSM-TX1 Scottsdale Healthcare Osborn,All Center States,All Time,,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
,Arizona,All Time,,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
,,5 or More Years,,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
AZUA-TX1 Banner University Medical Center-Tucson,All Center States,All Time,,127,114,9,0,1,1,2,0,0,0,0,0,0,0,0
,,< 30 Days,,16,9,6,0,0,0,1,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,11,9,1,0,1,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,10,9,1,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,40,38,0,0,0,1,1,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,12,11,1,0,0,0,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
,,
,,5 or More Years,,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
,Arizona,All Time,,127,114,9,0,1,1,2,0,0,0,0,0,0,0,0
,,< 30 Days,,16,9,6,0,0,0,1,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,11,9,1,0,1,0,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,10,9,1,0,0,0,0,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,40,38,0,0,0,1,1,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,12,11,1,0,0,0,0,0,0,0,0,0,0,0,0
